	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000242795	20.2448680689121	4.38669989868368	1.31844294475584	3.32718220089232	0.000877289920333759	0.021076006310667
ENSG00000013297	386.65263762518	-2.15798450505026	0.604624091885884	-3.56913416784184	0.000358162976766388	0.0113271891061091
ENSG00000186329	84.2490165564977	-5.79940349304646	1.16507334076351	-4.97771538506403	6.43391693157112e-07	9.41872763438712e-05
ENSG00000287899	13.3923972438986	-7.11658608123233	1.77125235288967	-4.01782731276102	5.87372157496856e-05	0.00300227525177242
ENSG00000279862	22.1144890794888	6.15054537121924	1.9527321084419	3.14971282780145	0.0016343102183937	0.0321885819803694
ENSG00000242808	13.1200137252156	-6.08426715064653	1.49763956897647	-4.06257104625293	4.85351688559694e-05	0.00260725511152679
ENSG00000181449	162.411939537852	-4.31185663149371	0.569277939505038	-7.57425561798983	3.61192616353309e-14	4.47247825610633e-11
ENSG00000175193	147.585141216101	2.46105801146687	0.586461560389541	4.19645238100887	2.7112843472706e-05	0.00169678952663062
ENSG00000178084	14.8793316484334	-7.26590001600204	2.3094715857633	-3.14613094215689	0.00165445916421086	0.0323401231398791
ENSG00000234197	6.28078249210732	-6.02423182974486	1.89624451378395	-3.1769277569186	0.00148844108115357	0.0305407099899258
ENSG00000058866	174.471382420103	-2.03049587932547	0.654869261465711	-3.10061259369675	0.00193120775917961	0.0357573401150468
ENSG00000213139	260.777960735866	2.37116652684132	0.766979925096836	3.09156269838738	0.00199105929296235	0.036340391520822
ENSG00000285938	133.372204849871	-2.19246289536919	0.733256330496293	-2.99003609540644	0.00278944482293263	0.0448478948313889
ENSG00000279891	102.468601808603	4.16510625776894	1.22689814686658	3.39482643152274	0.000686721211189448	0.0178867552958427
ENSG00000178732	6.00635578840068	-5.9544689434798	1.86085259365312	-3.19986062506452	0.00137494058832788	0.02897212773368
ENSG00000189058	1007.22880618436	-2.49264141212799	0.737373725775121	-3.38043155729172	0.000723720972344567	0.018505523085497
ENSG00000114473	600.417961336795	-1.76707073614096	0.540158470536824	-3.27139317908835	0.00107019009600977	0.0243547484197665
ENSG00000169020	130.267551812611	1.60951758734965	0.521983396580967	3.0834651023234	0.00204605105713198	0.0369384049739828
ENSG00000215375	353.566640127716	1.72018869927358	0.457819772304566	3.75734907781401	0.00017172287081275	0.00652312386199632
ENSG00000127419	739.086895066092	1.68759582036622	0.47649396562419	3.54169400268382	0.000397566383012164	0.0122867645258562
